# d_x d_y d_z
2.0234e-01 2.3569e-01 6.3872e-01
2.4255e-01 3.6329e-01 9.9711e-01
7.7320e-03 6.2548e-01 5.0135e-01
1.0653e-01 3.3339e-01 2.2443e-01
5.4849e-01 2.7218e-01 7.2028e-01
3.3252e-01 4.2229e-01 1.1932e+00
5.2559e-01 4.9580e-01 1.9324e-01
7.7586e-01 1.2917e-01 7.7681e-01
8.8015e-01 1.9002e-01 7.0129e-01
2.5268e-01 2.5994e-01 4.6373e-01
2.1592e-01 4.4492e-01 1.2490e+00
5.2110e-01 1.8819e-01 2.6253e-01
1.6260e-01 1.8609e-01 7.6516e-01
3.6395e-01 3.3248e-01 5.7844e-01
5.8708e-01 3.0933e-01 3.5497e-01
nan nan nan
6.1314e-01 2.0610e-01 8.2502e-01
2.3577e-01 5.1083e-02 5.1126e-01
7.7584e-01 1.9221e-01 7.1184e-01
1.7904e-01 3.4232e-01 3.7746e-01
2.3239e-01 5.2004e-01 8.0835e-01
6.4886e-01 1.4445e-01 2.9569e-01
4.0997e-01 5.7248e-01 3.2290e-01
7.9249e-02 6.6806e-01 6.8423e-01
4.2765e-01 6.3709e-01 3.6809e-01
2.9648e-01 7.0077e-01 3.5565e-01
4.0210e-01 8.7218e-02 3.7144e-01
1.5910e-01 1.2063e-01 2.6459e-01
5.4400e-01 3.7483e-01 1.2324e+00
9.6745e-02 4.6489e-01 9.8462e-01
5.4437e-01 3.3796e-01 5.6552e-01
5.1769e-01 4.8943e-01 5.0191e-01
5.3673e-01 3.7029e-01 7.1674e-01
2.2260e-01 7.6691e-01 8.3695e-01
6.9408e-01 2.6025e-01 1.3833e+00
3.4532e-01 4.2940e-01 3.5165e-01
5.7893e-01 5.8470e-01 7.2089e-01
3.7225e-01 4.6740e-01 8.0860e-01
4.5544e-02 2.9640e-01 9.4836e-01
1.6562e-01 6.2575e-01 1.0621e+00
2.6035e-01 2.0558e-01 1.1764e+00
1.9740e-01 8.7792e-01 4.4599e-01
1.4301e-01 4.2613e-01 3.3710e-01
4.4373e-01 1.1720e-01 4.0556e-01
nan nan nan
6.0631e-01 9.1075e-02 7.9393e-01
nan nan nan
6.3817e-01 4.0656e-01 6.0175e-01
3.1966e-01 7.0643e-01 6.1781e-01
3.8690e-01 6.5795e-01 7.4017e-01
7.4009e-02 3.7769e-01 5.5235e-01
3.1530e-01 3.4186e-01 3.3245e-01
6.4558e-01 2.6759e-01 7.5007e-01
2.2483e-01 3.4614e-01 5.6024e-01
3.9342e-01 2.2475e-01 7.6313e-01
1.2260e-01 4.2342e-01 9.6286e-01
1.7393e-01 3.8796e-01 7.1819e-01
1.2859e-01 8.3419e-01 3.2732e-01
3.8015e-01 4.1571e-01 3.2906e-01
2.4744e-01 4.1421e-01 1.3199e+00
4.7525e-01 6.2073e-01 7.2462e-01
1.5906e-01 2.5641e-01 2.8331e-01
2.4241e-01 3.1709e-02 8.4152e-01
5.0659e-01 3.1133e-01 4.1503e-01
9.1004e-02 7.6039e-01 3.6699e-01
4.2915e-01 3.5555e-01 7.6498e-01
7.3351e-01 2.0713e-01 7.1568e-01
3.9649e-01 2.6251e-01 8.5402e-01
1.5024e-01 6.4196e-01 6.1138e-01
1.5421e-01 1.6425e-02 6.8248e-01
3.9436e-01 5.3340e-01 7.4495e-01
7.0073e-01 7.3633e-02 2.9526e-01
5.2064e-02 1.3731e-02 1.8926e-01
nan nan nan
2.6588e-01 3.6570e-02 1.0390e+00
2.3355e-01 3.6719e-01 8.2474e-01
1.8750e-01 7.7589e-01 5.6886e-01
1.3377e-03 4.5203e-01 9.7031e-01
3.0949e-01 6.8397e-01 1.2552e+00
4.4501e-01 8.9711e-02 4.7753e-01
5.4432e-01 3.2463e-01 1.0093e+00
7.4387e-01 2.7947e-01 5.2510e-01
