# d_x d_y d_z
2.1863e-01 6.0188e-01 1.3766e+00
8.4224e-01 1.5590e-01 1.0429e+00
3.7710e-01 3.7160e-01 9.5973e-01
1.6937e-02 4.1298e-01 5.0069e-01
4.9847e-02 2.1912e-01 4.7355e-01
3.4329e-01 7.4365e-01 7.9590e-01
2.4312e-02 5.7189e-01 1.0251e+00
2.2231e-01 3.0418e-02 9.1720e-01
2.5722e-01 6.4202e-01 6.1138e-01
9.6149e-01 1.5486e-01 1.0932e+00
1.4719e-02 2.5335e-01 1.1773e+00
4.2176e-01 4.3263e-01 6.8899e-01
nan nan nan
8.3061e-01 1.9815e-01 5.8482e-01
3.4429e-01 1.5518e-01 6.2285e-01
5.5109e-01 4.3504e-01 1.5646e+00
6.6340e-01 3.9080e-01 4.3005e-01
7.2273e-01 2.0256e-01 1.5441e+00
3.0082e-02 6.2216e-01 7.4887e-01
3.9440e-01 9.4627e-02 1.2721e+00
8.5887e-01 5.0327e-01 7.1113e-01
2.5580e-01 5.1520e-01 1.2416e+00
7.6301e-01 2.3855e-01 7.8269e-01
4.0303e-01 5.2466e-01 5.5849e-01
3.8537e-01 3.8414e-01 8.2772e-01
2.4662e-01 3.0195e-01 1.1714e+00
4.9970e-01 2.3473e-01 9.5696e-01
1.0051e+00 3.9475e-02 1.3068e+00
3.6617e-01 1.5507e-01 1.2530e+00
3.1592e-01 2.6806e-01 1.6908e+00
6.1586e-01 3.3482e-01 1.1340e+00
7.2721e-01 3.0624e-01 9.1876e-01
3.0120e-01 3.9934e-01 4.2561e-01
8.0534e-01 4.2519e-02 1.1444e+00
8.8026e-01 1.9424e-01 1.1429e+00
4.1094e-01 2.7664e-01 1.2168e+00
2.0766e-01 1.7078e-02 3.2218e-01
6.7023e-02 1.6528e-01 1.0285e+00
3.9231e-01 7.3861e-01 7.8755e-01
2.3651e-01 1.4093e-01 1.2639e+00
1.4853e-02 2.2878e-01 1.2639e+00
1.7649e-01 2.8457e-01 1.5177e+00
3.2402e-01 7.4862e-01 8.2361e-01
