# d_x d_y d_z
1.5843e-01 2.0459e-01 1.3613e+00
8.4337e-01 5.1299e-02 8.2457e-01
4.2382e-01 1.2491e-01 1.0163e+00
5.9389e-01 2.0780e-01 8.8761e-01
7.1786e-02 7.3211e-01 3.4192e-01
7.4891e-01 2.2549e-01 4.3239e-01
8.9078e-02 7.1358e-01 8.1102e-01
1.2604e-01 1.6173e-01 9.1405e-01
3.8341e-01 8.2100e-02 1.5551e+00
4.2971e-01 3.2872e-01 6.4087e-01
3.2257e-01 4.0205e-01 5.5197e-01
4.8200e-01 6.0954e-01 9.0511e-01
4.1144e-01 4.3471e-01 5.7462e-01
1.5563e-01 6.0742e-01 7.2189e-01
1.6934e-01 5.7055e-01 8.9262e-01
2.8559e-01 3.1200e-01 9.1813e-01
3.7604e-01 3.4389e-01 9.8850e-01
8.2083e-01 2.2333e-01 6.4796e-01
3.5246e-01 5.4848e-01 7.7110e-01
1.5277e-01 8.5508e-01 7.5563e-01
5.6715e-02 6.9381e-01 8.0800e-01
3.7244e-02 2.1909e-01 4.9636e-01
9.2254e-02 5.9568e-01 9.3850e-01
6.1574e-01 4.6310e-01 7.1344e-01
2.0491e-01 5.4161e-01 7.4054e-01
4.3674e-01 1.5099e-01 7.8281e-01
1.2938e-01 1.7796e-01 9.0585e-01
6.0524e-01 1.9791e-01 6.0762e-01
1.1811e-01 3.0584e-01 1.2709e+00
5.0288e-01 4.8967e-01 7.3925e-01
7.3110e-03 2.3542e-01 7.3448e-01
4.1646e-01 6.2462e-02 1.1889e+00
7.4108e-02 4.7761e-01 1.0516e+00
1.1036e-01 4.8196e-01 8.0992e-01
4.8194e-01 5.5862e-01 8.2855e-01
2.3871e-01 3.3427e-01 1.1750e+00
1.2000e-01 5.4055e-01 6.8078e-01
3.8402e-01 5.4419e-01 6.1201e-01
2.9393e-01 1.0857e-01 7.3743e-01
3.8107e-02 3.3840e-03 7.3749e-01
7.4190e-01 1.8758e-01 1.1131e+00
6.5639e-01 3.1268e-01 7.0740e-01
7.6814e-01 3.6998e-01 6.7756e-01
2.5841e-01 7.1829e-01 6.1140e-01
6.6089e-02 2.4741e-01 9.9795e-01
1.8633e-01 2.1155e-01 1.1068e+00
3.7974e-03 2.1330e-01 7.7567e-01
2.1226e-01 1.2978e-01 6.2027e-01
1.0061e-01 1.3966e-01 8.0653e-01
1.6499e-01 4.8347e-02 5.9034e-01
3.0662e-01 9.2801e-02 1.4078e+00
2.5088e-01 7.1510e-01 7.7140e-01
4.6381e-01 3.9997e-01 5.4235e-01
7.6405e-01 8.9795e-02 5.8773e-01
8.5140e-01 1.7534e-01 6.4386e-01
